,company,employee,company_type,link,id,job_desc,job_type,location,post_date,salary,title
0,Xpertise Recruitment,11-50 employees,Staffing and Recruiting,https://www.linkedin.com/jobs/view/3533534440/?alternateChannel=search&refId=HLNr3nD0TOLwzJ82wgzN0Q%3D%3D&trackingId=BD2T4UA7G%2BbPoE3AQpWjAg%3D%3D&trk=d_flagship3_search_srp_jobs,3533534440,"Xpertise is looking for a DevOps Engineer for one of our top tech consultancies and their massive financial services client for a machine learning engineering platform. Please see further details below:


Day rate:
 £600.00
Location:
 Remote-based with one day in London client office per week expected
Length:
 6 months
Inside
 IR35


Key tech stack / skills desired:


* Azure and GCP
* Delivered platforms based on IaC using Terraform
* Groovy and/or Python
* Containers: Docker, Helm, Kubernetes
* Agile development practices - TDD, BDD, automated builds, continuous integration


Nice to haves:


* Understanding of cloud security
* Experience using Google Cloud SDK to deliver API and automation
* CI/CD: Jenkins/Spinnaker, Nexus




Role overview:
 You'll be working in a collaborative fashion driving effort to build, support and improve the cloud platform products and pipelines, all while working closely with the wider engineering teams to iteratively improve the customer experience.




Interested?
 Please apply with your CV or email/message Billy Hall for further details
 
 
Xpertise acts as an employment agency.",Hybrid,"London Area, United Kingdom",21/03/2023,,DevOps Engineer - GCP&Azure
1,McCain Foods,"10,001+ employees",Food and Beverage Manufacturing,https://www.linkedin.com/jobs/view/3531086705/?alternateChannel=search&refId=HLNr3nD0TOLwzJ82wgzN0Q%3D%3D&trackingId=UC00e0p55XgcgUa6lylUsw%3D%3D&trk=d_flagship3_search_srp_jobs,3531086705,"There’s nothing beige about McCain…
Except our potatoes — and we’re extremely passionate about them.


When you join McCain, you’ll be joining the biggest player in the frozen potato game, bringing people together around the nation for over 60 years by sharing simple, delicious planet friendly food.
We’ve partnered with thousands of the country’s supermarkets, pubs, restaurants, hospitals, and schools to change the way people see the humble spud. It’s all about elevation and creating something better.


So, come and make your career at McCain Foods.


ABOUT THE ROLE


Working within a busy Supply Chain team, our Inventory Specialist will work to ensure that our stock accuracy is as close to 100% as possible. The role will involve working closely with our 3PL providers to ensure that the stock records are accurate, communicating to internal and external customers, and finding resolutions to stock inaccuracy where found. You’ll also…


Complete regular stock synchronisation with our 3PL partners to ensure stock accuracy.
Investigating and fixing any iDoc errors in a timely fashion.
Preparing iDoc failure reports to analyse and propose corrective actions to minimise similar failures in the future.
Completing any required manual transactions on SAP where needed for our non-EDI warehouses.
Be in involved with regular stock audits to ensure ongoing best practice working methods.
General Supply Chain related SAP maintenance including EDI management, Master Data set up etc.
Approach all fixes with a view to root cause analyse and advise preventative measures for the future.
To assist with Inventory related administration where needed to maintain stock accuracy between SAP and 3PL records.
Support testing within SAP for new products / customers / lanes etc.
To be included in a weekend working rota which will mean working one in three weekends.


ABOUT YOU


To be successful in this role you’ll already be experienced in an Inventory/stock control role, ideally in an FMCG environment. We’re looking for an investigator, someone who can work to find the root cause and works in a logical and systematic way. You’ll also…


Have a good understanding of the systems behind stock control
Experienced within stock accuracy/stock co-ordination
Broad understanding of Supply Chain functions
IT/Computer literate
A confident communicator both internally and externally
Good problem solving skills


WHAT’S IN IT FOR ME?


As well as a competitive salary we also have some ‘a-peeling’ benefits including


You’ll be pleased to know we don’t pay you in ‘chips’.


A great pension plan — and we’ll pay double what you do, up to a maximum of 12% of your pay
Flexible holidays — with the option to buy & sell up to 5 extra days per year
‘Chips In’ Volunteering Day Off — to make a positive impact in McCain communities across the globe
Optional health cash plan
Cycle to work scheme
Opportunities to relocate in the future — we’re a worldwide business, so the opportunities are there for those who seek them


WHERE WILL I WORK?




Being in the office every single day is a thing of the past. Here at McCain, we champion hybrid working. This means we don’t have a set expectation of exactly when you need to be in the office – however we would like to see you on a weekly basis as that’s the best place for us to build and maintain our connections. Our head office (Customer Experience Centre) is on the outskirts of Scarborough – 1.5 hours away from Leeds City Centre, and about an hour from York. We have lots of colleagues who travel to and from our Experience Centre (even if it is just for a good coffee!) and because hybrid really does mean hybrid at McCain, they get the opportunity to collaborate with their colleagues when they’re in the office, and balance that with working from home to ensure they get a good life-work balance.


WE ARE INCLUSIVE.


At McCain Foods, we are committed to becoming an employer of choice for diverse employees; where leaders, structures, and interactions encourage individuals to thrive while being their authentic selves. If you need any adjustments making throughout the recruitment process (including alternate formats of materials or accessible meeting rooms), please let us know and we will work with you to meet your needs.",Hybrid,"Scarborough, England, United Kingdom",21/03/2023,,Inventory Specialist
2,MRJ Recruitment,11-50 employees,Staffing and Recruiting,https://www.linkedin.com/jobs/view/3533531733/?alternateChannel=search&refId=HLNr3nD0TOLwzJ82wgzN0Q%3D%3D&trackingId=23EKiMViK5%2Fl3iyBxNg1%2BQ%3D%3D&trk=d_flagship3_search_srp_jobs,3533531733,"Database Administrator


Location | Workplace Policy: Manchester based
Package: Lucrative salary available upon request + 30% Bonus (Personal Performance) + 7.5% Pension + 25 Days Holiday + Gym Membership + more


Catering to over 63 million customers in 22 languages, our client is an exciting and already firmly cemented name within the internet technology field that has continually wowed the gaming industry through revolutionary products and quick dev lifecycles that delight their client base.


Now at an important crossroads in their journey, they’re looking for a capable Database Administrator to oversee the brand’s database servers (SQL Server and PostgreSQL).


Take immediate responsibility for the brand’s database servers and ensure they are running effectively and efficiently
Keep quality assurance to a satisfactory level and stay on top of production database releases, ensuring they are fit for purpose code to UAT and Live
Maintain accurate and consistent database processes with support from operational deployments, business intelligence, and analytical reporting requirements.
Oversee systems and ensure adherence to software and hardware KPIs
Resolve ad hoc requests
Remain aware of the wider database server trends and report to senior figures
Providing high availability, scalability, and optimum performance for database servers through the setup, upgrade, migration, and installation of appropriate hardware.
 
The day-to-day work is interesting, challenging and fast-paced amidst a hardworking and delivery-focused company ethos. They hire people with a broad set of technical skills who are ready to tackle some of technology’s greatest challenges.


What skills do you need? 


Relevant experience with SQL Server and PostgreSQL databases
Experience with Windows failover clustering and PowerShell.
Skilled with Large databases in high concurrency and high throughput environment
Background monitoring applications and database architectures
Relevant experience with IT infrastructure and database management experience.


Sound like something you might be interested in?


For more information, apply now!",Hybrid,"Manchester, England, United Kingdom",21/03/2023,,Database Administrator
3,Ubiquity,"5,001-10,000 employees",Outsourcing and Offshoring Consulting,https://www.linkedin.com/jobs/view/3531082701/?alternateChannel=search&refId=HLNr3nD0TOLwzJ82wgzN0Q%3D%3D&trackingId=e8a6HueHzTlYqzH3LbilLQ%3D%3D&trk=d_flagship3_search_srp_jobs,3531082701,"Let's tomorrow, together.
At Ubiquity, we live by the mantra head, heart, and hustle. 
Head
 because we use our collective industry know-how to always push ourselves, our clients, and our programs to be the best they can be. 
Heart
 because we are always gracious with our time, our collaboration, and with one another. And 
Hustle
 because we have grit, tenacity, perseverance, and a proven track record of meeting and exceeding goals—every person, in every role, for our company and our clients.


Sound like the right fit? Your tomorrow looks bright at Ubiquity.


Your Role:
Tremendous opportunity to join a globally recognized and growing business process outsourcing, 4th party processing company as we expand further into the UK and EU market. We are looking for a compliance oversight and anti-money laundering professional to join our team in the UK. In this role you will help achieve FCA appointment and establish a best-in-class consumer credit oversight and monitoring program as part of our customer service and banking operations product lines. You will drive the implementation of compliance control, processes, and required operations under the Anti-Money Laundering/Combating the Financing of Terrorism (AML/CTF) program, and work as part of an integrated global Compliance team, leveraging the broader organisation and resources to ensure that we maintain an effective AML/CTF program, compliance oversight program, and meet all our regulatory compliance obligations. This role is essential to our success in the UK and will work with colleagues across Compliance, Information Security, Legal, Finance, Operations, Client Services, Technology, Sales, and Marketing.


This position will require the individual to be an FCA approved person to perform SMF16 (Compliance Oversight) and SMF17 (Money Laundering Reporting Officer) functions. This is an excellent opportunity for an individual who wants to join a great team and be part of a growing company.


SMF16 – Compliance Oversight function examples:
Developing regular monitoring procedures and practices to assess the adequacy and effectiveness of the firm’s systems and control.
Work with operational areas to develop proportionate risk-based policies and procedures designed to minimize the risk of breaches of legal and regulatory requirements.
Regulatory monitoring and management, including emerging risks, potential areas of non-compliance, and providing advice on appropriate mitigating actions.
Responsible for the implementation of any requirements of FCA rules and regulations associated to the UK business.
Manage actual and potential conflicts of interests.


SMF17 – Money Laundering Reporting Officer function examples:
Reporting any suspicious activity or transaction.
Overseeing and ensure the implementation of up-to-date AML/CTF policies and procedures.
Responding to requests for information from the FCA and other regulators and law enforcement agencies, or clients relating to a regulator or law enforcement agency request.
Conducting an annual money laundering risk assessment in relation to the company’s business.
Ensure regular training for staff on anti-money laundering.
Report on at least an annual basis to the firm’s governing body on the operation and effectiveness of the firm’s anti-money laundering systems and controls.


The ideal candidate will have:


5 years of recent and relevant experience performing SMF16/17 functions as a leader or member of a team in a similar capacity.
Understanding of laws and regulations in relation to AML, regulatory compliance, and risk in the UK, EU, and other jurisdictions.
Compliance and/or AML certifications and training are a plus.


What We Do.
Recognized as the #1 CX provider for disruptors and innovators across financial services, healthcare, and e-commerce, Ubiquity was founded on the belief that our clients and their customers deserve better. Headquartered in New York City with delivery locations in Europe, Asia, and the Americas, Ubiquity provides multilingual, end-to-end solutions for customer experience management, back-office/risk operations, and business transformation, and is proudly certified as a Great Place to Work®.


Come as U are, because U Matter at Ubiquity.
We’re committed to creating an inclusive employee experience for all. Regardless of race, gender, religion, sexual orientation, age, or disability, we believe that we’re at our best when everyone can contribute their ideas and feels free to be their most authentic self.",Remote,United Kingdom,21/03/2023,"£120,000/yr",Compliance and Money Laundering Reporting Officer | UK
4,AEJ Consulting Ltd,11-50 employees,Staffing and Recruiting,https://www.linkedin.com/jobs/view/3537220470/?alternateChannel=search&refId=HLNr3nD0TOLwzJ82wgzN0Q%3D%3D&trackingId=uY%2FXk4FMYqSdDInH4josoA%3D%3D&trk=d_flagship3_search_srp_jobs,3537220470,"Overview


Research Analyst – £27,000 – £30,000 – London


This is an opportunity to work for one of the fastest growing Commodity Trading Houses within the UK to work within their leading research team, which is crucial in driving the business forward. 
 
 




What you'll be doing:
Collect, analyse and interpret information and data across financial oil and refined products market
Present the finding in an easy-to-understand way in the form of reports and infographics as well as on-screen presentations
Support the analytics team in development of scientific approach to interpreting financial flows and supply & demand tools. 
Actively participate in projects to improve the processes and procedures in developing the reports 




What we're looking for:
Excellent MS skills including fluency with Excel formulas and functions. 
High numeracy and excellent analytical skills with strong interest in data analysis, commodities and financial markets.
Outstanding organisational skills to meet tight deadlines 
Ambitious and self-starting individual with track record of being high achiever who relentlessly pursues accelerated progression 
Entrepreneurial, adaptive, self-motivated; enjoy challenges and significant responsibility, and thrive in fast-paced, competitive environments
Good knowledge of coding (e.g Python, PowerBI, and other relevant data analytics software).
Prior experience in the financial oil and gas sector and knowledge of oil derivatives would be advantageous 
A bachelor’s or master’s degree or equivalent in a quantitative field


 
 
A mix of the above will be considered – your attitude, effort levels and drive are the main attributes we are looking for. You will be joining a fast-paced, dynamic environment which requires individuals to always be striving for the best/success.
AEJ Consulting Limited is acting as an Employment Agency in relation to this vacancy.
AEJ Consulting Limited is committed to being an equal opportunities employer and encourages applications from candidates regardless of sex, race, disability, age, sexual orientation, gender reassignment, religion or beliefs, marital status, or pregnancy/maternity status.",On-site,"London, England, United Kingdom",21/03/2023,"£27,000/yr - £30,000/yr",Research Analyst
5,Hydrogen Group,201-500 employees,Staffing and Recruiting,https://www.linkedin.com/jobs/view/3536428835/?alternateChannel=search&refId=HLNr3nD0TOLwzJ82wgzN0Q%3D%3D&trackingId=gHqUpXu1Sx4VcCcdHQwhDA%3D%3D&trk=d_flagship3_search_srp_jobs,3536428835,"Data Modeller/Analyst



 £250 - £300



 6 months



 London/Remote




Must have been involved in some kind of implementation of software/configuration work.


 







 The Role






Catalogue Modeller is accountable for the specific oversight of the Catalogue delivery to Customer and to support, advise and contribute to Customer specific development work
Design and Data Modelling Work 
Design and ownership of logical Model
Point of contact for Catalogue support questions 
Configuration of model using Catalogue
Creation of commercial and technical characteristics 
Creation of mapping rules 
Catalogue Integration Expertise 
Review of Catalogue and Catalogue Services API's
Supporting Customer integration documentation 
Contributing to discussion with dependent parties 
Guidance and supervision of Customer Catalogue resources (if assigned) 
Estimation activities, for sprints and program 
Participation in stand ups & Scrum/Agile ceremonies
Supporting Customer Acceptance activities
Develop, document, and ensure adherence to SLAs, processes, programs, naming conventions, and procedures to streamline processes and delivery
Requirements






Active contribution towards key design decisions and detailed design and implementation.
Participation in all stages of the software development, from initial analysis & design to implementation and post launch support.
Chip in to and maintain the platform on which the service runs, including the full path to production.
Investigate, address, and perform detailed root cause analysis of issues that may occur in live systems during working hours and out of hours as part of the support rota you will be part of.
Effective communication with fellow software engineers, the project team, management and different levels of the business to ensure the effective delivery and integration of these systems
High level of SQL knowledge


...",On-site,"London, England, United Kingdom",21/03/2023,,Data Modeller Analyst
6,NielsenIQ,"10,001+ employees",Information Services,https://www.linkedin.com/jobs/view/3537529286/?alternateChannel=search&refId=HLNr3nD0TOLwzJ82wgzN0Q%3D%3D&trackingId=iEq%2Beu%2F%2BOwBE5HSJnR81Yw%3D%3D&trk=d_flagship3_search_srp_jobs,3537529286,"Company Description


At CGA by NielsenIQ we work with the biggest and most renowned food and drink businesses and most iconic brands, to help them understand the drivers of their performance as well as the consumer and market dynamics at play. Our mission is clear: To use our phenomenal data and unrivalled expertise to provide our partners with fresh insight to help them be successful in the market we love.


Job Description


About this job:


The Sales Consultant plays an integral role in informing & contributing to the commercial direction of the NielsenIQ/CGA business in EMEA. This position will be based in UK.


The Sales Consultant is a well networked authority within the market, who needs to identify, make contact and network with potential & existing clients that represent future growth for NielsenIQ / CGA. As we build the business in this region, this person will have responsibility for coaching, mentoring and leading the Client Solutions and Client Services team in order to hit the growth objectives of the business.


Responsibilities
:


Identify and secure revenue opportunities that facilitate business unit growth whilst providing clients with relevant business building solutions
Work on account growth plans - including continuations, renewals, identification of new opportunities
Create and present insight presentations and proposals, ensuring they are of the highest standard
Identify and convert new client opportunities across EMEA and help us to identify the priority markets to over-invest in
Achieve revenue, profitability, quality, speed of delivery, productivity and client satisfaction targets as well as other related business development objectives as assigned
Responsible for client success, ensuring contracted deliverables and project work is delivered on time, on budget and to target
Provide a senior and 'industry expert’ point of contact to offer strategic direction and management of your clients


Qualifications:


3 years of experience in commercial roles within an agency or FMCG environment (On-Premise drinks supplier, distributor or retailer)
Consultative selling experience
Great communicator, positive energy and ability to motivate and inspire
Organised, excellent attention to detail and focused on getting things done
Strategic thinker who is also willing to roll their sleeves up
Experience with commercial conversations with other cultures


Additional Information


In an exciting acquisition CGA has been acquired by NielsenIQ, the global market leader for off-premise data and insights, bringing together specialist on- and off-trade services offering clients unparalleled opportunity to understand and grow brand and market share.


NielsenIQ operates in over 90 markets delivering alcoholic beverage measurement and consumer insights solution with the aim of helping clients achieve growth. This acquisition signals continued global growth and opportunity.


About NIQ


NIQ, the world’s leading consumer intelligence company, reveals new pathways to growth for retailers and consumer goods manufacturers. With operations in more than 100 countries, NIQ delivers the most complete and clear understanding of consumer buying behavior through an advanced business intelligence platform with integrated predictive analytics. NIQ delivers the Full View.


NIQ was founded in 1923 and is an Advent International portfolio company. For more information, visit NIQ.com


Want to keep up with the latest updates on our business and #LifeAtNIQ? Follow us on: LinkedIn | Instagram | Twitter | Facebook


Our commitment to Diversity, Equity, and Inclusion


NIQ is committed to reflecting the diversity of the clients, communities, and markets we measure within our own workforce. We exist to count everyone and are on a mission to systematically embed inclusion and diversity into all aspects of our workforce, measurement, and products. We enthusiastically invite candidates who share that mission to join us.


We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class. Our global non-discrimination policy covers these protected classes in every market in which we do business worldwide.


Learn more about how we are driving diversity and inclusion in everything we do by visiting the NielsenIQ News Center: https://nielseniq.com/global/en/news-center/diversity-inclusion/


NIQ or any of our subsidiaries will never ask you for money at any point of the recruitment or onboarding process.",Remote,"Stockport, England, United Kingdom",21/03/2023,,Sales Consultant
7,Babcock International Group,"10,001+ employees",Defense and Space Manufacturing,https://www.linkedin.com/jobs/view/3533524389/?alternateChannel=search&refId=HLNr3nD0TOLwzJ82wgzN0Q%3D%3D&trackingId=uZs5oeGoDsG4KS5tpq7WOg%3D%3D&trk=d_flagship3_search_srp_jobs,3533524389,"Data & Information Manager




SF4780
5




Plymouth




Build the future




At Babcock we’re working to create a safe and secure world, together, and if you join us, you can play your part as a Data & Information Manager.



As an international defence company, we support and enhance our customers’ defence and security capabilities and critical assets, meeting their requirements of value for money, increased availability, modernisation and flexibility




 
Mission Systems
 




The Data & Information Manager is based within our Mission Systems business area.



Babcock is a trusted provider of integrated solutions for global defence and security. We have a wide portfolio of best-in-class intelligence surveillance and reconnaissance solutions, communications, and weapons launch and handling solutions across all domains, integrating the best of industry to meet our customers’ needs.




 
The role
 




As a Data & Information Manager, you’ll have a role that’s out of the ordinary. You will will be responsible to the Engineering Tools and Data Management Lead for planning and leading Data Management and Data Security aspects across a portfolio of Intelligence, Surveillance and Reconnaissance (ISR) projects at Babcock.



Day to day, this means applying best practice to provide and support a Project Management Information System (PIMS) for the collation, dissemination, storage, and destruction of all project documentation securely and efficiently.



At Babcock, we have a history of helping talent go far. With our track record of innovation, you’ll continually develop your knowledge and expertise.



We offer flexible working to give people more options to better integrate their work and personal life, whilst ensuring that business needs are met. This role provides hybrid working arrangements.




Experience




Essential:


Industry Data Management best practice and tools experience.
Be fully conversant with Data Management aspects of Defence Standard 00-601, 05-57, 02-041 and associated policies and publications.
Ability to work in a complex, multi-discipline team.
Strong written communication skills; the delivery of well structured, unambiguous documentation and reports.
Strong verbal communication skills.
Relevant ICT/Engineering background.
Due to the nature of the domain, be capable of attaining and maintaining ‘SC’ security clearance as a minimum.




Desirable:


Working knowledge of UK MoD tools and applications.
Working Knowledge of UK MoD practices.




 
 
What else do I need to know?


All applicants must have the legal right to work in the UK and be subject to satisfactory security clearance which includes 3 years reference checks. Verification of any qualifications/passport/licences must be shown at interview stage.
We are happy to talk about flexible working. Please ask about alternative patterns of work at interview




Application Guidance




If you are currently employed by Babcock/Cavendish Nuclear please let your line manager know that you’re applying for this vacancy. You should also let them know if you are attending an interview or assessment for a role.



Please note that you will not be able to access the vacancy details after the closing date so you may wish to keep a copy of this advert and any supporting documents for your records.



We are committed to building an inclusive culture and strives to attract talent who thrive in an inclusive and flexible working environment.



If you have a disability or need any reasonable adjustments during the application and selection stages please let us know and will respond in a way that best fits your specific needs.",On-site,"Bristol, England, United Kingdom",21/03/2023,,Data and Information Manager
8,Amazon,"10,001+ employees","Technology, Information and Internet",https://www.linkedin.com/jobs/view/3495665327/?alternateChannel=search&refId=HLNr3nD0TOLwzJ82wgzN0Q%3D%3D&trackingId=Z5HfYSh1c3khNDVmbF%2FiLw%3D%3D&trk=d_flagship3_search_srp_jobs,3495665327,"Description




DESCRIPTION:



Amazon Operations sits at the heart of the Amazon customer experience. We look after everything from the moment a customer clicks buy, to the moment their item is delivered – from desktop to doorstep.



Across Europe we have more than 50 Fulfillment Centers, hundreds of Delivery Stations, thousands of machines, and tens of thousands of employees, all working together in harmony to make sure the right item gets delivered to the right person, in the right place, at the right time.



Working in Amazon Operations is for people who like to be active and give their all. We work in a busy, dynamic environment and are part of a bigger team delivering on the expectations of millions of customers every single day.



We are open, inclusive and welcome individuality and diversity. The culture in our Operation is built on the way teams bond and the work ethic that enables our business run like clockwork. Our teams take pride in a job well done, looking out for one another, ensuring the highest safety standards and playing their part in delivering the quality service Amazon is known for around the world.



Join us in the Amazon Reliability Maintenance Engineering team. We maintain and optimize technologies in the Global Amazon Warehouse & Delivery Network.




Purpose Of The Job




We are looking for motivated, customer-focused people who want to join our team as a Reliability Maintenance Engineering Planner. The Reliability Maintenance Engineering Planner is responsible for asset and spares management, preventative maintenance planning and machine history data. They are the site lead for the CMMS (Computerized Maintenance Management System) software and are required to extract information from it to support the site engineering manager.




Responsibilities


 Be the site level SME (Subject Matter Expert) on the CMMS (Computerized Maintenance Management System) software, train the local engineering team in its use and escalate issues as required to the EU team.
 Ensure the system is run in line with EU standards and participate in EU coordinated projects and improvement programs to roll out new functionality, procedures, scheduling or reports.
 Ensure site level equipment, spare parts and minimum holding levels are correctly recorded in the system in order to ensure technicians are never without the parts they need.
 Ensure the system accurately forecasts and assigns all required preventative maintenance to technicians within the team to provide a high level of equipment availability to our internal customers.
 Compile equipment information, performance metrics and machine histories and make recommendations for improvements based on their findings.
 Manage spare parts stock levels, place and track orders as required. Work with procurement and the wider EU network to find savings or efficiencies.




Basic Qualifications




BASIC QUALIFICATIONS:


 Relevant experience planning, scheduling and auditing maintenance activities either as a hands-on engineer or as a maintenance planner.
 Experience with CMMS software.
 Experience in using the core functions of MS Excel.
 Experience managing stores or spare parts inventories.


Ability to communicate (written & verbal) in English and the local language at CEFR Level B2 or higher.






Preferred Qualifications




PREFERRED QUALIFICATIONS:


 Bachelor’s degree in a technical discipline, operations, business administration, or a related field from an accredited university.
 Experience with the Infor EAM (Enterprise asset management) platform.
 Experience rolling out a new CMMS system.
 Experience delivering training or coaching others.


Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build. Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice (https://www.amazon.jobs/en/privacy_page) to know more about how we collect, use and transfer the personal data of our candidates.



Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need an adjustment during the application and hiring process, including support for the interview or onboarding process, please contact the Applicant-Candidate Accommodation Team (ACAT), Monday through Friday from 7:00 am GMT - 4:00 pm GMT. If calling directly from the United Kingdom, please dial +44 800 086 9884 (tel:+448000869884). If calling from Ireland, please dial +353 1800 851 489 (tel:+3531800851489).






Company
 - Amazon UK Services Ltd.



Job ID: A2318557",,"Coventry, England, United Kingdom",21/03/2023,,"Reliability Maintenance Engineering Planner, RME"
9,Optellum,11-50 employees,,https://www.linkedin.com/jobs/view/3533525501/?alternateChannel=search&refId=HLNr3nD0TOLwzJ82wgzN0Q%3D%3D&trackingId=48uzq0VIDrQsg21OcElcew%3D%3D&trk=d_flagship3_search_srp_jobs,3533525501,"DevOps Engineer, Full Time, Permanent. Salary £55,000pa to £65,000pa depending on experience


Are you ready to join the fight against cancer and improve the lives of millions?
Support our IT operations to the highest standards of information security?
Join the Optellum team and help us shape the cancer care of tomorrow!


About Us
Optellum is an AI-driven healthcare company dedicated to revolutionizing early interception and treatment of lung disease, starting with the deadliest: lung cancer. We are a growing team of scientists, engineers, and healthcare professionals working together to make a difference in the fight against lung cancer. Our mission is to ensure every patient with lung cancer is diagnosed at the earliest stage.
We have developed the first FDA-cleared and CE-marked product for diagnostic support of patients with suspicion of lung cancer, using AI applied to medical images. We are working to expand our platform to drive optimal decisions across the lung cancer patient journey and into the early diagnosis and treatment of other deadly diseases of the lungs.


What we offer:
· Work that is both challenging and rewarding and has a real positive impact on people's lives.
· Fast growth, ownership, and high impact in a growing startup.
· A culture of continuous learning and professional development to help you grow and develop your skills.
· Flexible working hours and location - Hybrid model, with at least two days preferred in our Oxford office.
· Competitive salary, equity, and benefits.
· Great location in Oxford's historical centre: just 5 min walk to train station, 1h to central London


Your Mission
Further optimize and increase reliability of our infrastructure, rollout infosec best-practices and automate tooling support for our product release process.


Key Responsibilities
· Develop tooling and clear documentation to enable engineers to self-service where possible.
· Work to expand our CI/CD pipeline to increase the level of automation in our release workflow.
· Manage cloud service operations, ensure cloud production systems are up and running, with processes and alert systems to manage down time
· Design and evolve our real time monitoring and metrics capabilities to greatly enhance our ability to monitor our quickly growing install base.
· Organise infrastructure to ensure robust business continuity (backups, etc)
· Be on a lookout and fix potential security and availability issues.
· Working in an agile, cross-functional engineering team


About You:
We are looking for an experienced devops engineer with a passion for working with platforms and systems and a proven track record of CI/CD of web application. You should have the following:


Required:
· Practical experience using Infrastructure as Code along with building and maintaining CI/CD pipelines.
· Keen eye for InfoSec: you know what it takes to be confident a cloud deployment is bullet-proof.
· Good knowledge of containerization technology, networking and HTTP.
· Familiarity with the basic services of at least one major cloud provider (AWS, Azure, GCP).
· Proven coding ability with at least one scripting or programming language - Python, Ruby, Go, PowerShell etc.
· Confidence using Linux command line: from debugging an ailing CI pipeline to writing and executing complex automation tasks.
· Can-learn attitude, readiness to occasionally switch hats.
· Have the existing and ongoing Right to Work in the UK as sponsorship is not provided.


Desirable, One of these would be a definite plus
· Experience with Docker, Azure Cloud and Ansible
· Experience of deploying production services on a Kubernetes cluster.
· Knowledge of hospital IT systems (PACS, DICOM, HL7, FHIR).


Optellum is an Equal Opportunities Employer. We are committed to creating a diverse and inclusive workplace and welcome applications from all qualified candidates regardless of race, gender, disability, religion/belief, sexual orientation, or age.


If you are excited about the opportunity to work with a talented and dedicated team to make a difference in the fight against lung cancer, we would love to hear from you.


We work a Hybrid model attending the office in the Centre of Oxford at least two days per week.
Salary is between £55,000 to £65,000 per annum depending on experience. 25 days annual leave plus bank holidays, pension scheme and an annual bonus.


Applicants should have the existing and ongoing right to work in the UK without restrictions as sponsorship is not provided.


Please send your CV and cover letter explaining why you think you are suitable for the role to hr@optellum.com by 20th April 2023


Early application is advised as interviews will take place as applications are received.
First stage interviews will be by MS Teams and second stage at our offices in Centre of Oxford.
More information 
https://optellum.com/careers",Hybrid,"Oxford, England, United Kingdom",21/03/2023,,DevOps Engineer
