,id,skills
0,3533534440,Google Cloud Platform (GCP)
1,3533534440,Python (Programming Language)
2,3533534440,Cloud Security
3,3533534440,Continuous Integration and Continuous Delivery (CI/CD)
4,3533534440,DevOps
5,3533534440,Docker Products
6,3533534440,Groovy
7,3533534440,Jenkins
8,3533534440,Kubernetes
9,3533534440,Terraform
10,3531086705,Communication
11,3531086705,Problem Solving
12,3531086705,Computer Literacy
13,3531086705,Electronic Data Interchange (EDI)
14,3531086705,Fast-Moving Consumer Goods (FMCG)
15,3531086705,SAP Electronic Data Interchange (EDI)
16,3531086705,SAP Products
17,3531086705,Stock Control
18,3531086705,Supply Chain Management
19,3531086705,Third-Party Logistics (3PL)
20,3533531733,SQL
21,3533531733,Cluster Analysis
22,3533531733,Database Administration
23,3533531733,Databases
24,3533531733,High Availability (HA)
25,3533531733,High Availability Clustering
26,3533531733,PostgreSQL
27,3533531733,Powershell
28,3533531733,User Acceptance Testing
29,3533531733,Windows
30,3531082701,Anti-Money Laundering
31,3531082701,Banking
32,3531082701,Banking Operations
33,3531082701,CTF
34,3531082701,Compliance Oversight
35,3531082701,Finance
36,3531082701,Financing
37,3531082701,Policies & Procedures
38,3531082701,Regulatory Compliance
39,3531082701,Risk Assessment
40,3537220470,Analytical Skills
41,3537220470,Data Analysis
42,3537220470,Data Analytics
43,3537220470,Microsoft Excel
44,3537220470,Presentations
45,3537220470,Python (Programming Language)
46,3537220470,Commodities
47,3537220470,Derivatives
48,3537220470,High Achiever
49,3537220470,Numeracy
50,3536428835,Communication
51,3536428835,Data Analytics
52,3536428835,Data Visualization
53,3536428835,Problem Solving
54,3536428835,SQL
55,3536428835,Statistics
56,3536428835,Catalogue
57,3536428835,Data Modeling
58,3536428835,English
59,3536428835,Software Implementation
60,3537529286,Communication
61,3537529286,Presentations
62,3537529286,Attention to Detail
63,3537529286,Business Building
64,3537529286,Commercial Direction
65,3537529286,Consultative Selling
66,3537529286,Customer Satisfaction
67,3537529286,Getting Things Done (GTD) Method
68,3537529286,Sales Consulting
69,3537529286,Strategic Thinking
70,3533524389,Communication
71,3533524389,Data Management
72,3533524389,Defense
73,3533524389,Information Technology
74,3533524389,Information and Communications Technology (ICT)
75,3533524389,Library Management
76,3533524389,Library Science
77,3533524389,Passport
78,3533524389,Project Documentation
79,3533524389,Written Communication
80,3495665327,B2
81,3495665327,CMMS
82,3495665327,Enterprise Asset Management
83,3495665327,Maintenance Management
84,3495665327,Maintenance Planning
85,3495665327,Management Systems
86,3495665327,Preventive Maintenance
87,3495665327,SAP Enterprise Asset Management (EAM)
88,3495665327,SME
89,3495665327,Spare Parts
90,3533525501,Continuous Integration and Continuous Delivery (CI/CD)
91,3533525501,DevOps
92,3533525501,Fast Healthcare Interoperability Resources (FHIR)
93,3533525501,Infrastructure as code (IaC)
94,3533525501,Scripting
95,3533281338,Communication
96,3533281338,Cultural Psychology
97,3533281338,Curriculum
98,3533281338,Funding Bids
99,3533281338,Interpersonal Skills
100,3533281338,Lecturing
101,3533281338,Psychology
102,3533281338,Research
103,3533281338,Teaching
104,3533281338,University Teaching
105,3532081822,Analytics
106,3532081822,Communication
107,3532081822,Presentations
108,3532081822,Problem Solving
109,3532081822,Attention to Detail
110,3532081822,Google Analytics
111,3532081822,Marketing
112,3532081822,Numeracy
113,3532081822,Visual Basic for Applications (VBA)
114,3532081822,Web Analytics
115,3533536030,Analytical Skills
116,3533536030,Data Analysis
117,3533536030,Data Analytics
118,3533536030,Data Science
119,3533536030,NumPy
120,3533536030,SQL
121,3533536030,Datasets
122,3533536030,Logics
123,3533536030,Pandas (Software)
124,3533536030,Predictive Analytics
